Amortiguamiento-Sub,,Amortiguamiento-Critico,,Amortiguamiento-Sobre,
Time,VN,Time,VN,Time,VN
0,0.00876344495137,0,0.014599223187087,0,0.017887133305312
1.29E-10,0.010182125368526,9.98E-11,0.017213655165152,5E-11,0.019648651702593
3.86E-10,0.01301888515442,3E-10,0.022426834558394,1.5E-10,0.023166398145343
9E-10,0.018689931016594,6.99E-10,0.032790689610846,3.5E-10,0.030170233407827
1.93E-09,0.030021572487829,1.5E-09,0.053270249824545,7.5E-10,0.044052113965347
3.99E-09,0.052638622919228,3.09E-09,0.09325151382951,1.55E-09,0.071319360713875
8.1E-09,0.097652548055773,6.29E-09,0.169417785547525,3.15E-09,0.123919729775458
1.63E-08,0.186521578091723,1.27E-08,0.307444064822328,6.35E-09,0.221780580370941
3.28E-08,0.357477785641392,2.55E-08,0.532674038561544,1.28E-08,0.391038748255615
6.57E-08,0.656823275352284,5.1E-08,0.822507860016592,2.56E-08,0.64311532954761
1.32E-07,1,1.02E-07,1,5.12E-08,0.912796330628264
2.09E-07,0.90021593025149,1.51E-07,0.902697448551002,8.56E-08,1
2.87E-07,0.345836779981781,2.18E-07,0.663442385295121,1.27E-07,0.938542035804545
3.71E-07,-0.394237425024232,2.86E-07,0.433971804643274,1.78E-07,0.800685922934387
4.55E-07,-0.850332630180978,3.86E-07,0.207095848573317,2.48E-07,0.618607553110888
5.39E-07,-0.787173143700663,4.82E-07,0.09303813362643,3.53E-07,0.412026881030375
6.25E-07,-0.254089616066172,5.57E-07,0.048560750766056,5.53E-07,0.183737515037549
7.07E-07,0.364914003703409,6.32E-07,0.02510745035435,7.35E-07,0.089007522036211
7.93E-07,0.750988447085205,7.13E-07,0.01199381025327,8.93E-07,0.047692077005426
8.76E-07,0.666316234494937,7.92E-07,0.005776709051182,1.07E-06,0.02398115414033
9.63E-07,0.187679439915575,8.69E-07,0.002824743965177,1.24E-06,0.011983533620763
1.04E-06,-0.347896342354939,9.42E-07,0.001416748521787,1.42E-06,0.005839188051003
1.13E-06,-0.658497862868878,1.02E-06,0.000703087831646,1.59E-06,0.002938933020021
1.21E-06,-0.559138686116486,1.09E-06,0.000349230329177,1.77E-06,0.001464870861714
1.3E-06,-0.134914356071951,1.16E-06,0.000172479510901,1.94E-06,0.000737120072659
1.38E-06,0.333425730305367,1.24E-06,8.59E-05,2.12E-06,0.000365773902565
1.47E-06,0.577127724274036,1.31E-06,4.26E-05,2.29E-06,0.000183058887568
1.55E-06,0.462209618845032,1.38E-06,2.13E-05,2.47E-06,9.11E-05
1.64E-06,0.084942730659342,1.45E-06,1.05E-05,2.64E-06,4.56E-05
1.72E-06,-0.32317591697466,1.52E-06,5.2E-06,2.82E-06,2.27E-05
1.81E-06,-0.505326665792062,1.59E-06,2.58E-06,2.99E-06,1.14E-05
1.9E-06,-0.371589441539668,1.66E-06,1.28E-06,3.17E-06,5.66E-06
1.98E-06,-0.035397196761666,1.74E-06,6.37E-07,3.34E-06,2.83E-06
2.07E-06,0.317099586107769,1.81E-06,3.17E-07,3.52E-06,1.41E-06
2.15E-06,0.440440848063319,1.88E-06,1.57E-07,3.69E-06,7.05E-07
2.23E-06,0.314195677902634,1.95E-06,7.84E-08,3.87E-06,3.52E-07
2.31E-06,0.02281392751755,2.02E-06,3.9E-08,4.04E-06,1.76E-07
2.39E-06,-0.258585272508999,2.09E-06,1.94E-08,4.22E-06,8.77E-08
2.48E-06,-0.381700394991009,2.17E-06,8.5E-09,4.39E-06,4.38E-08
2.56E-06,-0.287968159693013,2.28E-06,2.71E-09,4.57E-06,2.19E-08
2.64E-06,-0.040920846778226,2.42E-06,5.17E-10,4.79E-06,8.78E-09
2.73E-06,0.225959823849762,2.61E-06,1.3E-11,5.08E-06,2.61E-09
2.81E-06,0.331483278238502,2.91E-06,-2.42E-12,5.46E-06,3.83E-10
2.89E-06,0.247340173220844,3.45E-06,1.1E-12,6E-06,-3.56E-12
2.97E-06,0.030528447386973,4.52E-06,-7.47E-13,6.86E-06,8.63E-13
3.06E-06,-0.199918886331079,6.52E-06,6.1E-13,8.46E-06,-4.36E-13
3.14E-06,-0.287930566637824,8.52E-06,-4.98E-13,1E-05,2.15E-13
3.22E-06,-0.211922034902335,1E-05,3.78E-13,,
3.31E-06,-0.023057506110131,,,,
3.39E-06,0.176581571783517,,,,
3.47E-06,0.250019949111342,,,,
3.56E-06,0.181969561498874,,,,
3.64E-06,0.01767908158631,,,,
3.73E-06,-0.155383755041878,,,,
3.81E-06,-0.217056353554064,,,,
3.89E-06,-0.156554717922374,,,,
3.97E-06,-0.013715124304144,,,,
4.06E-06,0.136338582251186,,,,
4.14E-06,0.18841773706421,,,,
4.22E-06,0.134895604981106,,,,
4.3E-06,0.010747719816364,,,,
4.38E-06,-0.109910436608274,,,,
4.46E-06,-0.163232809619539,,,,
4.56E-06,-0.115576477390953,,,,
4.64E-06,-0.00742113409072,,,,
4.72E-06,0.096937007075986,,,,
4.8E-06,0.141821409359444,,,,
4.88E-06,0.106026969289257,,,,
4.96E-06,0.013925656066996,,,,
5.05E-06,-0.084989516796374,,,,
5.13E-06,-0.123151518189955,,,,
5.21E-06,-0.091148101709064,,,,
5.29E-06,-0.01048963422567,,,,
5.38E-06,0.07500845658881,,,,
5.46E-06,0.106947995211436,,,,
5.55E-06,0.078206728689498,,,,
5.63E-06,0.007985233560159,,,,
5.72E-06,-0.066096694363122,,,,
5.8E-06,-0.092854649553037,,,,
5.88E-06,-0.067229852641115,,,,
5.96E-06,-0.006162951864391,,,,
6.05E-06,0.058063108704816,,,,
6.13E-06,0.080606682470053,,,,
6.21E-06,0.057891502848525,,,,
6.29E-06,0.004808343025397,,,,
6.37E-06,-0.046896238051965,,,,
6.45E-06,-0.069823526412035,,,,
6.55E-06,-0.049564663741134,,,,
6.63E-06,-0.003314371713474,,,,
6.71E-06,0.041386848857623,,,,
6.79E-06,0.06066741644951,,,,
6.87E-06,0.045405235848841,,,,
6.95E-06,0.006010132624841,,,,
7.04E-06,-0.03630838408243,,,,
7.12E-06,-0.052682424031487,,,,
7.2E-06,-0.039023924198673,,,,
7.29E-06,-0.004523353111646,,,,
7.37E-06,0.032055870351172,,,,
7.45E-06,0.045751748406605,,,,
7.54E-06,0.033478146271599,,,,
7.62E-06,0.003440748617665,,,,
7.71E-06,-0.028254043832933,,,,
7.79E-06,-0.03972316145959,,,,
7.87E-06,-0.028775918821167,,,,
7.95E-06,-0.002653702790816,,,,
8.04E-06,0.024824158710421,,,,
8.12E-06,0.034483707007965,,,,
8.2E-06,0.024776647968973,,,,
8.28E-06,0.002069139971283,,,,
8.36E-06,-0.020055181753108,,,,
8.45E-06,-0.029870172501574,,,,
8.54E-06,-0.021210764544581,,,,
8.62E-06,-0.001425841543116,,,,
8.7E-06,0.017700650269523,,,,
8.78E-06,0.025953392174801,,,,
8.86E-06,0.019427044085745,,,,
8.94E-06,0.002574033274206,,,,
9.03E-06,-0.015530007484594,,,,
9.11E-06,-0.02253751893471,,,,
9.19E-06,-0.016696149676282,,,,
9.28E-06,-0.001936980929358,,,,
9.36E-06,0.013711808246279,,,,
9.45E-06,0.019572633868844,,,,
9.53E-06,0.014323092190162,,,,
9.61E-06,0.001473172177392,,,,
9.7E-06,-0.012086012197276,,,,
9.78E-06,-0.01699362537526,,,,
9.86E-06,-0.012311093200453,,,,
9.94E-06,-0.001136026141638,,,,
